,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499
0,-9.736498043353066,-590.7621026036121,-590.1833527610445,-626.4565669047771,-572.5527049446061,-582.8750062652682,-545.5727935011195,-597.3052401246541,-546.545521680627,-607.2169090333956,-552.2137112789492,-523.651897254761,-482.3487156329862,-366.97647280432915,-518.8522604407719,-388.34404318915637,-251.34084642417412,-273.78106706650544,-411.38567655632033,-342.85799389318584,-491.9924787244331,-208.17542682356788,-317.9561380910335,-249.02150656576828,-281.0998731473113,-383.398638802368,-296.449089722587,-243.10161390979982,-282.0533454288178,-250.6942009050827,-272.8389242845881,-396.24553990542813,-411.1093418370133,-407.6028557695179,-348.8528200918105,-342.37108113759297,-397.50372712781234,-208.26401552203203,-219.80855724818275,-172.83487706450774,-393.0165750511038,-357.8825301771612,-347.30200790387346,-388.11510020101844,-274.2077875201919,-304.5289450962687,-420.07599248109693,-305.7576521511527,-242.6843370111124,-149.61646142576805,-147.65179981990073,-157.9133453721227,-202.01896507387386,-362.3822936157841,-432.4256163284799,-504.0508662258759,-514.450841534438,-500.5942401727866,-403.7397404456245,-103.80314607632916,-169.97203885752054,-111.64843608574843,-175.08783547214736,-103.91915012132809,-121.29651778722469,-104.12423880216241,-112.59370375833032,-108.75624785635355,-116.15141188316136,-107.83010982795693,-122.64642194249079,-101.84953439453554,-101.81330122652822,-115.35008078198862,-109.1085860016193,-120.99688187337404,-122.78067221649144,-110.45043255154346,-116.37164742432506,-118.32277329712747,-98.66944452435573,-108.04956249288641,-98.06087206873238,-113.29762871388823,-115.5336936340339,-103.27304514517,-115.75802568906897,-209.8530112811694,-150.13401243974866,-148.6725416085083,-137.60205852548376,-122.35293997830613,-110.91984001767965,-100.07454950128358,-125.66922566088863,-113.55501857688876,-115.41454777668028,-111.25432866356047,-108.73908023751278,-113.82348748619324,-101.92382987482554,-109.85326624892393,-110.14654641716186,-103.14342933686449,-122.89489254305929,-113.23924267925801,-110.38065364448921,-131.28172841405424,-109.83304977716787,-96.89419458223149,-99.73881595101766,-107.298414285973,-110.89983146105416,-103.67314485905658,-105.17592353684078,-102.89479081037314,-109.87819896888023,-114.94373057326418,-123.17508916278776,-111.80543775221558,-142.79109118713217,-115.23648889395793,-120.3496907426346,-137.2769077307445,-103.5249288973785,-108.83256071353125,-109.74400935783483,-99.28718328314899,-112.77858276864106,-100.63888122016485,-117.27291479415491,-113.28645926914972,-102.50180165176423,-113.7773367443043,-105.67456083102577,-109.70297030669474,-136.62995453890048,-107.27288449968293,-104.00044817691382,-116.28562066242083,-116.8792950134962,-95.59242420708125,-127.09354453422046,-107.71856843864217,-126.41696608230704,-89.28040311788456,-113.60288234508559,-101.30816226310047,-114.34740341894205,-119.98306847520885,-115.3847208682957,-121.46010397029674,-112.05213640548145,-127.34014402108119,-112.79424250671259,-112.56502591861143,-107.06685993399644,-120.31460936911779,-134.0572141229037,-113.56514915967992,-114.99465344004724,-105.64096260883665,-121.5623696706413,-111.37885994565445,-118.93436182491764,-104.59333152451396,-130.61711993415418,-105.29354823114227,-125.15490676324262,-109.1492768468162,-126.25484837967795,-97.59598136627399,-121.52261268570555,-125.91304746474103,-116.92573888541862,-109.74601946154046,-130.61399457241214,-100.4151952433697,-99.66137282108123,-109.04530618223723,-108.68255019171924,-113.52382060454002,-129.24961949132663,-114.60004402101242,-107.33105631333149,-84.57147836066613,-111.64313465650314,-120.8074389798719,-103.59528321091253,-106.58631423610014,-106.68248476435208,-109.47278203838214,-133.80061554098975,-108.89053289925914,-113.29811165701419,-108.51281001355542,-113.9749909328061,-109.28488972252671,-125.76863213381606,-108.79515788936786,-108.2855028412014,-108.02225260551715,-127.44398802973039,-128.38393458604784,-126.70082239754932,-109.22679545210221,-96.25179700186709,-122.89149303612525,-115.55185559886786,-106.08507276660904,-119.93216815569949,-121.62441938735651,-99.09484538852408,-107.43691655809394,-90.08591458014546,-115.2132652669601,-102.40846135752808,-111.04249919924158,-122.63311678624909,-102.45845555290836,-82.58706868383703,-130.1560894106562,-103.28493583224834,-104.04073028297398,-120.47855434462625,-102.90114477899617,-98.88080030533317,-89.72027419258487,-98.37790691913331,-111.58774831227345,-119.50052398828174,-108.83710089372703,-112.95326447579552,-115.71410724160762,-120.90651092094038,-110.06529949896158,-108.15356639083032,-110.77973750376904,-115.58685209011416,-123.82870884789318,-115.12070603370653,-103.67728126057736,-113.8223892267013,-107.14954928215118,-119.37879629168046,-113.61166489492845,-129.59105356281927,-117.84242835040591,-122.07742885063462,-120.28615397392737,-124.58571512266141,-110.55368774992294,-102.23479653096187,-113.40284151231415,-95.62998407460786,-122.02887341524668,-106.60988811193934,-111.12477684990549,-115.88076718557718,-110.9281596734204,-122.1585536410553,-120.49147766485461,-117.07636046772,-109.76627614300192,-81.91668440192267,-103.97299787693926,-118.82734760284771,-119.60093473609791,-103.31432683505224,-108.30629014814853,-100.3284435661711,-125.09817807134687,-124.28455623993696,-113.38592411968173,-139.49108193313438,-86.16477071227064,-103.29854776028367,-115.15555380893575,-132.12200197632404,-101.25965808563329,-110.14186395296755,-121.23896370247044,-110.964559226644,-108.80385597751035,-121.95389416808284,-121.53987438689985,-102.35066245948008,-106.71287572627507,-105.07705574207057,-106.61919411787646,-104.73070798615251,-112.26631162701487,-102.58546316848037,-104.74217885846397,-126.27311046948626,-119.60256474634744,-110.02062078303712,-100.95593881837871,-101.55545284752097,-109.10553885112581,-109.21393080109442,-102.61381401704116,-80.9470760244823,-139.3037431514727,-122.1337042885128,-114.02822326218718,-113.32453558737411,-112.46385971154018,-122.56223027314635,-110.56920087286676,-111.66550557668802,-102.52330039024363,-123.08866468891654,-110.1503745699695,-107.09547822335826,-117.35241689260333,-109.58447986341909,-111.77284853885939,-116.626850763862,-114.90230916558616,-83.77094588894936,-102.75407032960891,-107.01400628219513,-121.34852636799504,-121.10848565631682,-115.37870862300534,-100.46055279445144,-109.36540257599958,-120.98691764684243,-116.34894041465684,-123.26369627211268,-102.06849867136181,-122.93093827601822,-124.7414325169963,-101.01760622300354,-108.32965943008162,-94.7552317240858,-126.44324646253058,-109.98424405294773,-120.82588938453856,-126.33319808635176,-105.6882522474614,-108.8236800210869,-115.70038458056074,-111.63772165301017,-137.73700585726314,-128.76407209001331,-114.11431702406776,-104.67593199799914,-120.51408572306075,-129.5861116388342,-115.08394218740807,-106.45739462503109,-123.80411212152316,-123.48143141150095,-105.17146545141188,-120.95222479439053,-103.57357493742272,-106.50806118538799,-105.58470382370349,-131.08203025232962,-115.66038925669216,-148.5179088513026,-136.7039929068909,-129.5379841995814,-102.48558841026326,-123.66759201043779,-106.78978998464751,-122.51604922696097,-141.53692813636962,-116.34939617171395,-113.55610590759287,-136.22676646181185,-125.2943881994402,-115.46536194733824,-125.33678187143452,-123.13943365206435,-163.56094836290814,-101.74397495904995,-102.24255756637439,-121.25437207839198,-111.84557759428692,-114.19034328757216,-105.13350646557907,-134.50700301322652,-114.44023672809571,-108.1579256913728,-125.51607191056561,-111.52880262128181,-143.11842996843313,-116.71224184170676,-111.81984725188593,-109.35393743636519,-119.43031196591717,-116.3611744901774,-121.19722588682737,-138.24241984352597,-139.19511081377146,-121.32038242072394,-105.51732003405444,-120.90381278196094,-127.33310969300805,-128.02626153523826,-108.56842803138954,-137.64083849526315,-129.49117913219072,-113.15573497384916,-117.46936949902454,-104.27260381123499,-121.52048490043236,-126.29766258688622,-108.5679228394735,-97.56079503185636,-115.34519912676065,-121.19251305129646,-114.7209068120944,-109.20678797383871,-130.18143100301873,-138.10993340359065,-123.7563913189692,-124.82693462612119,-122.7109871456285,-144.57748613561807,-110.99364184112576,-99.89638012768596,-110.2664233719747,-134.43272414697253,-120.03999092262268,-128.45031925471093,-128.18270032096012,-115.33165581279309,-132.92857875700403,-107.41123923674779,-123.56966083985927,-110.13634129465272,-119.56234112035543,-121.8061733782171,-126.87902096372413,-137.32493645293803,-130.43492578722402,-119.56905852316382,-154.93973089113325,-109.8831627681459,-116.57061287777313,-103.32795622106633,-100.20839766251342,-120.79414934766378,-132.16795341879032,-130.71349232164965,-139.46725836555618,-107.83208523038411,-112.80702684231633,-137.67572951062803,-143.02472522210567,-112.94254440471528,-118.2919851245405,-108.19602761348806,-110.47920547043618,-110.01430155693099,-131.0446813300729,-141.96379610518449,-127.77771869326735,-152.16596218381508,-109.1811736257797,-133.941933673188,-148.18196379502677,-144.39496344019227,-115.78893793229918,-97.37387397955538,-108.66530227421788,-118.07034415298006,-131.59080588994,-140.6859080449386,-124.17122917614336,-126.0366174030705,-123.57272266727485,-136.79712499475536,-151.6250228440788,-112.71451478243132,-141.69284540129675,-113.97943609274787,-116.77294378901283,-143.15260702247184,-165.9141038280745,-106.78445062624196,-123.30851349965378,-113.46796999951758,-125.4569005924119,-131.64049335741302,-137.9938419083181,-124.55123340095602,-133.53242391130942,-120.08618098905615,-130.13469427853843,-110.90820756298248,-111.18591227496998,-124.5819954829177,-139.25028938002617,-153.32756623100798,-144.42699206888344
1,6.95,83.6,88.95,82.75,76.1,78.35,72.15,78.0,78.8,78.55,79.3,77.05,91.6,100.95,82.55,99.4,125.65,161.3,86.35,95.15,91.9,89.15,91.3,91.3,127.75,78.7,71.45,79.75,77.85,86.45,91.25,78.2,75.45,77.95,79.35,87.35,79.0,103.6,92.2,87.75,78.75,82.65,81.05,75.55,85.45,107.05,93.55,83.0,86.5,85.8,96.75,84.5,82.4,78.1,78.85,79.85,79.45,76.85,78.05,82.8,86.8,83.15,81.65,82.0,82.2,82.4,83.7,80.3,84.0,82.05,82.35,82.75,81.15,86.1,84.3,78.65,85.25,83.85,80.8,84.75,89.15,85.2,83.25,85.4,84.05,88.1,82.15,84.05,84.45,85.65,88.15,83.65,82.85,84.7,87.7,85.1,82.5,84.2,85.05,82.1,83.9,82.9,80.15,82.35,87.65,81.85,81.25,84.05,85.8,84.25,81.1,80.1,85.75,85.0,82.05,81.25,84.1,93.05,80.15,90.9,80.7,82.3,82.55,86.25,86.65,82.8,81.4,83.0,81.45,81.6,85.2,82.45,85.95,80.6,82.15,81.75,86.3,83.0,80.5,81.9,83.1,101.25,81.95,83.5,84.05,95.8,83.05,87.4,92.85,83.85,98.4,83.0,84.1,86.8,81.45,83.85,83.7,83.1,85.05,84.35,85.15,83.9,81.5,82.0,82.95,83.85,87.45,84.2,85.85,83.7,83.1,98.55,87.0,82.3,83.6,81.2,86.3,86.45,82.85,83.35,79.75,82.65,84.45,84.95,85.6,117.5,83.05,84.8,105.45,102.45,83.95,85.65,85.8,87.7,85.65,80.8,83.85,84.55,80.65,83.65,85.3,81.15,95.75,91.25,87.35,81.1,81.35,85.15,85.65,82.7,85.75,83.25,98.35,87.1,83.45,81.7,75.85,81.6,82.55,82.3,100.35,83.25,81.7,81.95,81.55,82.15,86.45,89.0,82.85,81.45,85.25,79.8,80.3,82.75,83.0,82.8,82.9,88.85,81.45,86.75,82.6,84.75,86.4,82.4,81.45,81.35,82.65,87.4,90.8,83.05,84.4,81.1,82.65,83.95,83.3,87.85,81.0,82.0,91.65,104.4,82.7,81.65,81.05,82.3,92.1,87.55,81.55,86.15,84.4,81.6,83.0,82.1,80.45,78.85,86.75,101.95,80.15,83.05,84.6,86.0,80.95,83.45,83.05,83.05,82.05,85.2,81.65,79.45,85.55,86.4,85.05,81.95,81.45,78.85,85.1,82.9,83.2,82.1,84.25,80.25,85.6,101.7,101.7,84.15,79.6,86.75,84.8,80.4,85.35,83.2,83.2,85.6,88.55,82.1,82.4,86.75,86.4,82.75,85.65,80.05,90.85,81.4,80.85,81.75,84.8,84.9,82.1,89.2,80.75,81.6,84.5,90.65,85.0,83.55,81.85,83.95,90.95,84.75,79.65,83.8,88.15,83.75,85.15,83.55,86.65,83.65,84.55,80.0,76.85,81.15,89.2,84.8,80.7,82.4,87.55,81.65,89.95,84.45,81.65,84.65,91.65,84.6,102.85,85.8,86.7,93.65,85.0,80.8,93.6,91.9,87.5,79.5,84.95,82.85,87.55,89.85,84.4,123.45,82.35,82.65,84.4,88.85,78.85,82.1,89.5,83.4,82.8,80.75,84.35,95.75,85.45,87.8,86.4,89.55,83.55,81.55,88.55,82.0,84.7,84.1,85.65,92.65,89.25,81.5,91.05,93.75,81.25,83.9,81.25,84.35,89.15,80.75,80.05,88.35,82.2,84.7,91.15,87.55,88.55,85.25,89.7,86.9,85.8,85.75,81.75,84.05,83.5,86.15,88.6,97.3,86.55,84.2,84.8,90.15,81.8,90.75,83.8,90.9,91.8,86.05,85.8,96.6,80.0,85.65,83.8,87.8,89.0,89.8,87.2,86.9,85.75,87.6,86.3,89.4,82.0,81.55,82.9,92.85,83.3,92.85,102.8,91.75,87.9,85.6,93.1,83.45,100.45,84.55,79.15,85.2,83.95,84.2,91.7,91.55,86.65,96.8,98.6,96.95,88.0,83.9,81.9,88.2,101.2,93.45,87.5,82.55,92.8,84.6,92.0,96.25,95.4,105.15,82.45,91.4,83.6,80.15,85.8,96.35,97.6,90.4
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
